trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1.0, 'e': 1.0}",20,0,-108.78489382017898,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 1.0, 'e': 0.95}",30,0,-143.68040927853372,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 1.0, 'e': 0.9}",30,0,-123.98079974542088,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 1.0, 'e': 0.85}",20,6,1.6707419179639698,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 1.0, 'e': 0.8}",20,0,-117.25811649921512,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
6,False,"{'a': 1.0, 'e': 0.75}",25,0,-95.11915735574448,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 1.0, 'e': 0.7}",30,0,-93.19784890274352,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 1.0, 'e': 0.6499999999999999}",30,0,-83.71583824098578,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 1.0, 'e': 0.6}",25,0,-65.34930200599194,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 1.0, 'e': 0.55}",20,0,-40.05960734482993,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 1.0, 'e': 0.5}",20,7,-2.8405251140582712,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 1.0, 'e': 0.44999999999999996}",20,0,-7.669738469761281,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 1.0, 'e': 0.3999999999999999}",20,9,-43.51110989129688,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 1.0, 'e': 0.35}",30,0,-7.723624854225905,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 1.0, 'e': 0.29999999999999993}",30,6,-43.22726763472967,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 1}",1
16,False,"{'a': 1.0, 'e': 0.25}",30,17,18.991263511956603,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 1.0, 'e': 0.19999999999999996}",20,8,19.641117850092154,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 1.0, 'e': 0.1499999999999999}",30,0,24.86528497549509,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 1.0, 'e': 0.09999999999999998}",30,19,21.33995535735474,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 1.0, 'e': 0.04999999999999993}",25,9,31.356714731954284,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 1.0, 'e': 0.0}",25,11,25.56412057894322,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,3,38.07685639712699,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,6,22.973530073929986,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,3,36.86984544382238,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,30.567442198830715,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,11,15.324053212435489,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,14,12.484560400473082,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,16,6.410148993264215,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,31.2688366666718,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,10,14.634631493005894,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,13,21.92545766305723,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
