trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.009424390387092405, 'e': 0.9998766324816606}",25,0,-77.33531758138781,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.018846455446876974, 'e': 0.9995065603657316}",20,0,-43.73056404952912,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.028263870425785594, 'e': 0.99888987496197}",30,0,-85.20177068611264,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.037674311717588026, 'e': 0.9980267284282716}",25,0,-132.36907916590562,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.04707545743670696, 'e': 0.996917333733128}",30,8,-80.78141501658821,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 0}",1
6,False,"{'a': 0.056464987991108585, 'e': 0.99556196460308}",25,0,-86.46191168565373,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.06584058665462716, 'e': 0.9939609554551797}",30,0,-215.32202175497582,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
8,False,"{'a': 0.07519994013858255, 'e': 0.9921147013144779}",20,0,-42.123581032029314,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.0845407391625496, 'e': 0.9900236577165575}",20,0,-91.63645626717815,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.09386067902413851, 'e': 0.9876883405951378}",20,0,-176.53062899355675,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.10315746016764571, 'e': 0.9851093261547739}",20,0,-157.59687267198188,"{0: 8, 1: 1, 2: 8, 3: 2, 4: 1}",0
12,False,"{'a': 0.11242878875143476, 'e': 0.9822872507286887}",30,0,-91.28386443170932,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
13,False,"{'a': 0.12167237721390749, 'e': 0.9792228106217657}",30,0,-222.81829987921324,"{0: 13, 1: 3, 2: 10, 3: 2, 4: 2}",0
14,False,"{'a': 0.13088594483792554, 'e': 0.9759167619387474}",25,0,-83.24525092352583,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.14006721831354324, 'e': 0.9723699203976766}",30,0,-114.94128355629924,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.14921393229891286, 'e': 0.9685831611286311}",30,0,-137.69175996793928,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.15832382997922376, 'e': 0.9645574184577981}",20,0,-60.66183779674307,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.16739466362353755, 'e': 0.9602936856769431}",20,0,-148.34877351336254,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
19,False,"{'a': 0.17642419513938237, 'e': 0.9557930147983301}",25,0,-289.25301531005675,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 5}",0
20,False,"{'a': 0.18541019662496844, 'e': 0.9510565162951535}",25,0,-133.7493456241418,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
21,False,"{'a': 0.1943504509188896, 'e': 0.9460853588275453}",25,0,-46.63629175628251,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
22,False,"{'a': 0.20324275214717483, 'e': 0.9408807689542255}",30,0,-143.72168527447883,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
23,False,"{'a': 0.21208490626755427, 'e': 0.9354440308298673}",25,0,-183.21303596769934,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 4}",0
24,False,"{'a': 0.22087473161080676, 'e': 0.9297764858882515}",20,0,-2.372115742076871,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.22961005941905385, 'e': 0.9238795325112867}",25,0,-65.74383919561383,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.23828873438086837, 'e': 0.9177546256839811}",20,0,-133.75574975968055,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
27,False,"{'a': 0.24690861516306528, 'e': 0.9114032766354452}",30,0,-151.73505716759252,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
28,False,"{'a': 0.2554675749390436, 'e': 0.9048270524660195}",25,15,-27.199505793645628,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
29,False,"{'a': 0.26396350191354906, 'e': 0.8980275757606156}",20,0,-113.08449780623002,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
30,False,"{'a': 0.27239429984372804, 'e': 0.8910065241883679}",35,0,-139.5026006119909,"{0: 24, 1: 3, 2: 4, 3: 2, 4: 2}",0
31,False,"{'a': 0.28075788855634404, 'e': 0.8837656300886934}",20,0,-81.61999716460832,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
32,False,"{'a': 0.2890522044610292, 'e': 0.8763066800438636}",20,0,-81.23551441325121,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 0.29727520105944455, 'e': 0.8686315144381912}",20,0,-178.34654626428758,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
34,False,"{'a': 0.3054248494502228, 'e': 0.8607420270039436}",20,0,-134.4434515873464,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
35,False,"{'a': 0.31349913882956926, 'e': 0.8526401643540923}",20,0,-131.1765323055012,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
