trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1.0, 'e': 1.0}",20,0,-99.63260605416605,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 1.0, 'e': 1.0}",25,0,-197.8905665434148,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 1.0, 'e': 1.0}",35,0,-159.570128417032,"{0: 23, 1: 2, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 1.0, 'e': 1.0}",20,0,-91.03917986128806,"{0: 8, 1: 6, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 1.0, 'e': 1.0}",30,0,-89.12732640247789,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 1.0, 'e': 1.0}",20,0,-109.80211775848741,"{0: 8, 1: 3, 2: 7, 3: 2, 4: 0}",0
7,False,"{'a': 1.0, 'e': 1.0}",30,0,-156.72493987493874,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 1.0, 'e': 1.0}",20,0,-136.4904304990985,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 1.0, 'e': 1.0}",20,0,-99.14092910953968,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
10,False,"{'a': 1.0, 'e': 1.0}",25,0,-118.52603892852763,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 1.0, 'e': 1.0}",20,0,-89.07745700909938,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
12,False,"{'a': 1.0, 'e': 1.0}",25,0,-83.67811832828599,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 1.0, 'e': 1.0}",25,0,-147.24795248807393,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 1.0, 'e': 1.0}",30,0,-123.50913066971012,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 1.0, 'e': 1.0}",30,0,-131.27416675743424,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
16,False,"{'a': 1.0, 'e': 1.0}",20,0,-25.411469108888767,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 1.0, 'e': 1.0}",30,0,-209.01121667211694,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
18,False,"{'a': 1.0, 'e': 1.0}",20,0,-118.76179899337751,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 1.0, 'e': 1.0}",20,0,-42.90445825323024,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 1.0, 'e': 1.0}",20,0,-109.95464601327629,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-130.2017249866986,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-57.90375170311127,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-148.981752274264,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-49.72427302350087,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-166.73052237457634,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-74.13536230892929,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-116.99075242531191,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-55.71829890125697,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-76.32913706031678,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",35,0,-100.57712362035949,"{0: 28, 1: 1, 2: 3, 3: 1, 4: 2}",0
